title,genres,keywords,tagline,cast,director
The Night Visitor,Crime Horror,revenge escape from prison suspense,Locked in the cold asylum of his mind - a sane man stalks his prey...,Max von Sydow Trevor Howard Liv Ullmann Per Oscarsson Rupert Davies,L\u00e1szl\u00f3 Benedek
Book of Shadows: Blair Witch 2,Mystery Thriller Horror,witch video forest horror vision,Evil Doesn't Die.,Kim Director Jeffrey Donovan Erica Leerhsen Tristine Skyler Stephen Barker Turner,Joe Berlinger
Clerks,Comedy,salesclerk loser aftercreditsstinger,Just because they serve you doesn't mean they like you.,Brian O'Halloran Jeff Anderson Jason Mewes Kevin Smith Lisa Spoonhauer,Kevin Smith
One Day,Drama Romance,based on novel comedian job love male female relationship,Twenty years. Two people.,Anne Hathaway Jim Sturgess Patricia Clarkson Ken Stott Romola Garai,Lone Scherfig
You Don't Mess with the Zohan,Comedy Action,new york israel middle east hairdresser ladykiller,Lather. Rinse. Save the world.,Adam Sandler John Turturro Emmanuelle Chriqui Nick Swardson Lainie Kazan,Dennis Dugan
Home for the Holidays,Comedy Drama Romance,baltimore thanksgiving family clan family conflict generations conflict,We'll do it every year..until we get it right,Holly Hunter Robert Downey Jr. Anne Bancroft Charles Durning Claire Danes,Jodie Foster
Super Mario Bros.,Adventure Comedy Family Fantasy,saving the world brother brother relationship royalty dinosaur based on video game,This Ain't No Game.,Bob Hoskins John Leguizamo Dennis Hopper Samantha Mathis Fisher Stevens,Annabel Jankel
Sunshine Cleaning,Comedy Drama,suicide single parent sister sister relationship cleaning lady new mexico,life's a messy business.,Amy Adams Emily Blunt Alan Arkin Jason Spevack Steve Zahn,Christine Jeffs
The World's End,Comedy Action Science Fiction,end of the world apocalypse trilogy homage,Good food. Fine ales. Total Annihilation.,Simon Pegg Nick Frost Martin Freeman Eddie Marsan Paddy Considine,Edgar Wright
Ride Along,Action Comedy,police operation police officer brother-in-law brother-in-law relationship duringcreditsstinger black men,Propose to this cop's sister? Rookie mistake.,Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika Sumpter,Tim Story
Galaxy Quest,Comedy Family Science Fiction,space battle spaceship spoof fictional tv show,A comedy of Galactic Proportions.,Tim Allen Sigourney Weaver Alan Rickman Tony Shalhoub Sam Rockwell,Dean Parisot
The Hobbit: The Desolation of Smaug,Adventure Fantasy,elves dwarves orcs hobbit dragon,Beyond darkness... beyond desolation... lies the greatest danger of all.,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
Firefox,Science Fiction Action Adventure Thriller,flying pilot kampfjet false identity assault,...the most devastating killing machine ever built... his job... steal it!,Clint Eastwood Freddie Jones David Huffman Warren Clarke Ronald Lacey,Clint Eastwood
The Last Stand,Action Crime Thriller,sheriff small town hostage prisoner fbi,Not in his town. Not on his watch.,Arnold Schwarzenegger Forest Whitaker Rodrigo Santoro Johnny Knoxville Jaimie Alexander,Kim Jee-woon
Pitch Perfect,Comedy Music Romance,competition roommate college female friendship music,Get pitch slapped.,Anna Kendrick Skylar Astin Brittany Snow Anna Camp Rebel Wilson,Jason Moore
Rocket Singh: Salesman of the Year,Drama Comedy Romance,ambition bollywood business india struggling career,Welcome to the world of sales boss!,Ranbir Kapoor Sumeet Darshan Dobhal Gauhar Khan Shazahn Padamsee Prem Chopra,Shimit Amin
Hoot,Drama Family,owl teenager animal protection based on young adult novel,It's time to stand up for the little guys.,Luke Wilson Logan Lerman Brie Larson Tim Blake Nelson Cody Linley,Wil Shriner
Scoop,Comedy Mystery,upper class prostitute journalist drowning newspaper,The perfect man. The perfect story. The perfect murder.,Scarlett Johansson Hugh Jackman Woody Allen Ian McShane Kevin McNally,Woody Allen
Zookeeper,Comedy Romance Family,talking animal scientist german accent ostrich monkey,Welcome to his jungle.,Kevin James Rosario Dawson Sylvester Stallone Nick Nolte Jon Favreau,Frank Coraci
Kicking & Screaming,Romance Comedy Family,father son relationship generations confilct sport amateur soccer soccer coach,One man could lead this team to glory. . . That man was busy,Will Ferrell Robert Duvall Kate Walsh Musetta Vander Josh Hutcherson,Jesse Dylan
Tomorrowland,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Imagine a world where nothing is impossible.,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
Friday,Comedy,rap music parents kids relationship rapper job,A lot can go down between thursday and saturday...,Ice Cube Chris Tucker Nia Long Tom Lister Jr. John Witherspoon,F. Gary Gray
White Oleander,Drama,poison prison loss of family loss of father foster parents,,Alison Lohman Michelle Pfeiffer Cole Hauser Robin Wright Amy Aquino,Peter Kosminsky
True Lies,Action Thriller,spy terrorist florida gun kidnapping,"When he said I do, he never said what he did.",Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton Tia Carrere,James Cameron
The Manchurian Candidate,Drama Thriller Mystery,senator gulf war canoe kuwait conspiracy,This summer everything is under control.,Denzel Washington Meryl Streep Liev Schreiber Jon Voight Kimberly Elise,Jonathan Demme
The Day After Tomorrow,Action Adventure Science Fiction Thriller,saving the world library cataclysm climate change greenhouse effect,Where will you be?,Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O. Sanders,Roland Emmerich
Videodrome,Horror Mystery Science Fiction,suicide tv show hallucination tv station radio presenter,First it controls your mind. Then it destroys your body.,James Woods Sonja Smits Deborah Harry Peter Dvorsky Jack Creley,David Cronenberg
Identity Thief,Comedy Crime,,She's having the time of his life,Jason Bateman Melissa McCarthy Jon Favreau Amanda Peet T.I.,Seth Gordon
The Croods,Adventure Animation Comedy Family Fantasy,stone age daughter father prehistoric ancient world,Meet the first modern family.,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,Chris Sanders
Before Sunset,Drama Romance,paris journalist dialogue talking soulmates,What if you had a second chance with the one that got away?,Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torr\u00e8s Mariane Plasteig,Richard Linklater
Underworld: Awakening,Fantasy Action Horror,vampire daughter hybrid child vampire werewolf,Vengeance Returns,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind
The Lords of Salem,Horror Thriller,witch coven salem massachusetts satanic,We've been waiting... we've always been waiting,Sheri Moon Zombie Bruce Davison Jeff Daniel Phillips Judy Geeson Meg Foster,Rob Zombie
The Proposition,Action Adventure Crime Drama Thriller,gallows australia psychopath outlaw misanthrope,This land will be civilized.,Guy Pearce Ray Winstone Emily Watson Danny Huston David Wenham,John Hillcoat
They Live,Action Horror Science Fiction Thriller,dystopia social commentary alien invasion sunglasses brawl,Who are they? And what do they want?,Roddy Piper Keith David Meg Foster George Buck Flower Peter Jason,John Carpenter
Thir13en Ghosts,Horror Thriller,hunter nanny nudity collector house,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions...",Tony Shalhoub Embeth Davidtz Matthew Lillard Shannon Elizabeth Matthew Harrison,Steve Beck
Fight Club,Drama,support group dual identity nihilism rage and hate insomnia,Mischief. Mayhem. Soap.,Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher
"Run, Hide, Die",Thriller Horror,revenge murder,"Five girls, one secret. Revenge stalks them in the night.",Alison Monda Alicia Mendez Ivey Bronwen Tabitha Bastien Keiko Green,Collin Joseph Neal
Back to the Future,Adventure Comedy Science Fiction Family,clock tower car race terrorist delorean lightning,He's the only kid ever to get into trouble before he was born.,Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover Thomas F. Wilson,Robert Zemeckis
Seven Samurai,Action Drama,japan samurai peasant looting rice,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,Toshir\u014d Mifune Takashi Shimura Yoshio Inaba Seiji Miyaguchi Minoru Chiaki,Akira Kurosawa
The Purge: Election Year,Action Horror Thriller,dystopia sequel legalized murder,Keep America great,Elizabeth Mitchell Frank Grillo Mykelti Williamson Edwin Hodge Raymond J. Barry,James DeMonaco
Fame,Music Comedy Drama Romance,musical duringcreditsstinger,,Kay Panabaker Naturi Naughton Kherington Payne Megan Mullally Walter Perez,Kevin Tancharoen
Undiscovered,Comedy Romance,independent film aspiring singer singer los angeles,They Know Each Other By Heart.,Kip Pardue Carrie Fisher Shannyn Sossamon Pell James Steven Strait,Meiert Avis
Dark Water,Drama Horror Thriller,based on novel water remake teacher divorce,"This Season, The Mystery Of The Darkness Will Consume Your Life",Jennifer Connelly John C. Reilly Tim Roth Dougray Scott Pete Postlethwaite,Walter Salles
"For a Good Time, Call...",Comedy,crude humor best friend phone sex innuendo dirty joke,Lose your hang-ups. Find your calling.,Ari Graynor Lauren Miller Mark Webber Justin Long Mimi Rogers,Jamie Travis
Two Evil Eyes,Horror Thriller,cat photographer nightmare hallucination hypnosis,When I wake you... you'll be dead,Adrienne Barbeau Harvey Keitel Ramy Zada E.G. Marshall Madeleine Potter,George A. Romero
Heartbeeps,Comedy Romance Family,servant future chase lovers outlaw,Meet a modern nuclear family unlike any other.,Andy Kaufman Bernadette Peters Randy Quaid Kenneth McMillan Melanie Mayron,Allan Arkush
Bats,Horror Thriller,mutation bat attack closed mine bat attack,They will suck you dry,Lou Diamond Phillips Dina Meyer Bob Gunton Leon Robinson Carlos Jacott,Louis Morneau
The Canyons,Thriller Drama,sex adultery jealousy nudity seduction,It's not the hills.,Lindsay Lohan James Deen Gus Van Sant Nolan Gerard Funk Amanda Brooks,Paul Schrader
Blades of Glory,Action Comedy Drama,competition olympic games sport rivalry ice skating,Kick Some Ice.,Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer,Josh Gordon
Brighton Rock,Drama Thriller Crime,waitress riot gang war nightmare prayer,Love. Murder. Revenge.,Andy Serkis Helen Mirren John Hurt Sam Riley Andrea Riseborough,Rowan Joffe
Ramona and Beezus,Comedy Family,sister sister relationship mother daughter relationship aunt niece relationship father daughter relationship duringcreditsstinger,A Little Sister Goes A Long Way.,Joey King Selena Gomez John Corbett Bridget Moynahan Ginnifer Goodwin,Elizabeth Allen Rosenbaum
My Best Friend's Girl,Romance Comedy,date sex bar test friendship,It's funny what love can make you do...,Dane Cook Kate Hudson Alec Baldwin Jason Biggs Diora Baird,Howard Deutch
The White Countess,Drama History Family Romance,,,Ralph Fiennes Natasha Richardson Hiroyuki Sanada Lynn Redgrave Vanessa Redgrave,James Ivory
Scarface,Action Crime Drama Thriller,miami corruption capitalism cuba prohibition,The world is yours...,Al Pacino Steven Bauer Michelle Pfeiffer Mary Elizabeth Mastrantonio Robert Loggia,Brian De Palma
Red Planet,Thriller Action Science Fiction,mars future astronaut science catastrophe,Not A Sound. Not A Warning. Not A Chance. Not Alone.,Val Kilmer Carrie-Anne Moss Benjamin Bratt Tom Sizemore Simon Baker,Antony Hoffman
Confessions of a Dangerous Mind,Comedy Crime Drama Romance Thriller,microfilm biography silencer intrigue,Some things are better left top secret.,Sam Rockwell Drew Barrymore Julia Roberts Rutger Hauer Brad Pitt,George Clooney
Willard,Horror,bad boss evil mother revenge humiliation obedience,"When the cat's away, the rats will play.",Crispin Glover R. Lee Ermey Laura Harring Jackie Burroughs Ashlyn Gere,Glen Morgan
End of the Spear,Adventure Drama,drama,,Louie Leonardo Chad Allen Jack Guzman Chase Ellison Sylvia Jefferies,Jim Hanon
Left Behind,Thriller Action Science Fiction,airplane the rapture remake pilot hero,The End Begins,Nicolas Cage Chad Michael Murray Lea Thompson Nicky Whelan Martin Klebba,Vic Armstrong
The Spirit,Action Comedy Thriller Crime Science Fiction,secret identity robber mask frog based on comic strip,I'm gonna kill you all kinds of dead.,Gabriel Macht Scarlett Johansson Samuel L. Jackson Eva Mendes Paz Vega,Frank Miller
The Terminal,Comedy Drama,new york airport marriage proposal translation craftsman,Life is waiting.,Tom Hanks Catherine Zeta-Jones Stanley Tucci Chi McBride Diego Luna,Steven Spielberg
Hotel for Dogs,Comedy Family,adoption puppy pitbull orphan foster home,No stray gets turned away.,Emma Roberts Jake T. Austin Don Cheadle Johnny Simmons Kyla Pratt,Thor Freudenthal
The Good Night,Comedy Drama Romance Fantasy Music,dream midlife crisis lucid dreaming,Dreaming is believing.,Pen\u00e9lope Cruz Martin Freeman Gwyneth Paltrow Simon Pegg Danny DeVito,Jake Paltrow
Soul Kitchen,Drama Comedy,,,Adam Bousdoukos Birol \u00dcnel Moritz Bleibtreu Wotan Wilke M\u00f6hring Dorka Gryllus,Fatih Akin
12 Rounds,Action Adventure Drama Thriller,police cops cat and mouse family revenge drama,Survive all 12,John Cena Aidan Gillen Ashley Scott Steve Harris Brian J. White,Renny Harlin
Criminal Activities,Thriller Crime Drama,mobster money problems borrow trouble classmates,Leave the crime to the criminals,Dan Stevens John Travolta Michael Pitt Jackie Earle Haley Travis Aaron Wade,Jackie Earle Haley
Thank You for Smoking,Comedy Drama,father son relationship capitalism based on novel smoking lie,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!,Aaron Eckhart Maria Bello Cameron Bright Adam Brody Sam Elliott,Jason Reitman
Buffalo Soldiers,Drama Comedy War Crime Thriller,germany corruption sex based on novel investigation,War is hell... but peace is f*#!%!! boring.,Joaquin Phoenix Ed Harris Scott Glenn Anna Paquin Elizabeth McGovern,Gregor Jordan
Dreamer: Inspired By a True Story,Drama Family,horse race horse kentucky sport based on true story,,Kurt Russell Dakota Fanning Kris Kristofferson Elisabeth Shue David Morse,John Gatins
Crocodile Dundee in Los Angeles,Adventure Comedy,crocodile traffic jam los angeles stolen painting,He heard there was wildlife in L.A. He didn't know how wild.,Paul Hogan Linda Kozlowski Jere Burns Jonathan Banks Alec Wilson,Simon Wincer
Annie,Comedy Drama Family,musical orphan foster child,It's a Hard Knock Life,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck
The Trials Of Darryl Hunt,Documentary,woman director,,,Ricki Stern
Tomcats,Comedy Romance,compulsive gambling roulette stag night group of friends,The Last Man Standing Gets The Kitty.,Jerry O'Connell Shannon Elizabeth Jake Busey Horatio Sanz Bernie Casey,Gregory Poirier
Lara Croft Tomb Raider: The Cradle of Life,Action Adventure Fantasy Thriller,riddle treasure medallion kenia alexander the great,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,Angelina Jolie Gerard Butler Noah Taylor Djimon Hounsou Til Schweiger,Jan de Bont
The Roommate,Thriller Drama Horror,jealousy roommate obsession campus love,"2,000 colleges. 8 million roommates. Which one will you get?",Minka Kelly Leighton Meester Cam Gigandet Aly Michalka Matt Lanter,Christian E. Christiansen
